iter	Passed	Remaining
0	5	2556
1	7	1793
2	8	1469
3	10	1344
4	12	1245
5	14	1172
6	16	1149
7	18	1121
8	19	1090
9	21	1075
10	23	1060
11	25	1046
12	27	1033
13	29	1016
14	31	1004
15	32	997
16	34	985
17	36	973
18	38	969
19	40	962
20	41	953
21	43	947
22	45	937
23	46	929
24	49	935
25	51	931
26	52	928
27	54	922
28	56	921
29	58	917
30	60	913
31	62	911
32	64	909
33	66	905
34	67	901
35	69	898
36	71	895
37	73	894
38	75	890
39	77	892
40	79	891
41	81	887
42	83	885
43	85	883
44	87	880
45	88	876
46	90	872
47	92	869
48	94	867
49	95	863
50	97	860
51	99	856
52	101	853
53	102	849
54	104	847
55	106	845
56	108	843
57	110	843
58	112	840
59	114	837
60	115	833
61	117	832
62	119	832
63	121	830
64	123	828
65	125	826
66	127	823
67	129	823
68	131	821
69	133	820
70	135	817
71	137	815
72	139	813
73	140	810
74	142	807
75	144	805
76	146	802
77	147	800
78	149	798
79	151	796
80	153	793
81	155	790
82	156	786
83	158	784
84	160	781
85	161	778
86	163	776
87	165	774
88	166	770
89	168	768
90	170	766
91	172	764
92	174	763
93	176	760
94	177	758
95	179	755
96	181	752
97	182	750
98	184	748
99	186	746
100	188	744
101	190	742
102	191	739
103	193	737
104	195	735
105	197	733
106	199	731
107	200	729
108	202	727
109	204	725
110	207	725
111	208	723
112	210	721
113	212	719
114	214	716
115	215	714
116	217	712
117	219	709
118	221	707
119	222	705
120	224	703
121	226	702
122	228	701
123	230	698
124	232	696
125	234	695
126	236	693
127	237	691
128	239	689
129	241	687
130	243	685
131	245	683
132	247	682
133	248	680
134	250	677
135	252	675
136	254	674
137	256	672
138	258	670
139	260	668
140	261	666
141	263	664
142	265	662
143	267	660
144	268	657
145	270	656
146	272	654
147	274	652
148	276	650
149	277	648
150	279	646
151	281	644
152	283	642
153	284	639
154	286	637
155	288	635
156	290	633
157	291	631
158	293	629
159	295	628
160	297	625
161	298	623
162	300	621
163	302	620
164	304	618
165	306	616
166	308	615
167	310	614
168	312	612
169	314	610
170	316	608
171	318	606
172	319	604
173	321	602
174	323	600
175	324	598
176	326	596
177	328	594
178	330	592
179	332	590
180	334	588
181	335	586
182	337	584
183	339	582
184	341	581
185	342	578
186	345	577
187	346	575
188	348	573
189	350	571
190	352	569
191	353	567
192	355	565
193	357	564
194	359	561
195	360	559
196	362	557
197	364	556
198	366	554
199	368	552
200	370	550
201	372	548
202	373	547
203	375	545
204	377	543
205	379	541
206	381	539
207	383	537
208	384	535
209	386	533
210	388	531
211	390	529
212	391	527
213	393	525
214	395	524
215	397	522
216	398	520
217	400	518
218	402	516
219	404	514
220	406	512
221	408	511
222	409	509
223	411	507
224	413	505
225	415	503
226	417	501
227	419	500
228	421	498
229	422	496
230	425	494
231	426	493
232	428	491
233	430	489
234	432	487
235	433	485
236	435	483
237	437	481
238	439	479
239	440	477
240	442	475
241	444	473
242	446	472
243	448	470
244	449	468
245	451	466
246	453	464
247	455	462
248	457	461
249	459	459
250	460	457
251	462	455
252	464	453
253	466	451
254	468	449
255	470	447
256	471	446
257	473	444
258	475	442
259	477	440
260	479	439
261	481	437
262	483	435
263	486	434
264	487	432
265	489	430
266	491	428
267	493	426
268	494	424
269	496	422
270	498	421
271	500	419
272	501	417
273	503	415
274	505	413
275	507	411
276	509	409
277	510	407
278	512	405
279	514	403
280	515	401
281	517	399
282	519	398
283	521	396
284	523	394
285	524	392
286	526	390
287	528	389
288	530	387
289	532	385
290	534	383
291	536	382
